month_t_minus_12,month_t_minus_11,month_t_minus_10,month_t_minus_9,month_t_minus_8,month_t_minus_7,month_t_minus_6,month_t_minus_5,month_t_minus_4,month_t_minus_3,month_t_minus_2,month_t_minus_1
-2.4026995,-1.8766099,-1.0410548,-0.6181204,-0.72127557,-0.43244344,-0.60780466,-1.0307411,-1.1751571,-1.2267337,-1.4536755,-1.6393524
-1.8766099,-1.0410548,-0.6181204,-0.72127557,-0.43244344,-0.60780466,-1.0307411,-1.1751571,-1.2267337,-1.4536755,-1.6393524,-1.690931
-1.0410548,-0.6181204,-0.72127557,-0.43244344,-0.60780466,-1.0307411,-1.1751571,-1.2267337,-1.4536755,-1.6393524,-1.690931,-1.2061043
-0.6181204,-0.72127557,-0.43244344,-0.60780466,-1.0307411,-1.1751571,-1.2267337,-1.4536755,-1.6393524,-1.690931,-1.2061043,0.02143811
-0.72127557,-0.43244344,-0.60780466,-1.0307411,-1.1751571,-1.2267337,-1.4536755,-1.6393524,-1.690931,-1.2061043,0.02143811,0.72289085
-0.43244344,-0.60780466,-1.0307411,-1.1751571,-1.2267337,-1.4536755,-1.6393524,-1.690931,-1.2061043,0.02143811,0.72289085,1.0736172
-0.60780466,-1.0307411,-1.1751571,-1.2267337,-1.4536755,-1.6393524,-1.690931,-1.2061043,0.02143811,0.72289085,1.0736172,0.87762266
-1.0307411,-1.1751571,-1.2267337,-1.4536755,-1.6393524,-1.690931,-1.2061043,0.02143811,0.72289085,1.0736172,0.87762266,0.7435223
-1.1751571,-1.2267337,-1.4536755,-1.6393524,-1.690931,-1.2061043,0.02143811,0.72289085,1.0736172,0.87762266,0.7435223,0.1452247
-1.2267337,-1.4536755,-1.6393524,-1.690931,-1.2061043,0.02143811,0.72289085,1.0736172,0.87762266,0.7435223,0.1452247,0.36184877
-1.4536755,-1.6393524,-1.690931,-1.2061043,0.02143811,0.72289085,1.0736172,0.87762266,0.7435223,0.1452247,0.36184877,0.33090362
-1.6393524,-1.690931,-1.2061043,0.02143811,0.72289085,1.0736172,0.87762266,0.7435223,0.1452247,0.36184877,0.33090362,0.3824802
-1.690931,-1.2061043,0.02143811,0.72289085,1.0736172,0.87762266,0.7435223,0.1452247,0.36184877,0.33090362,0.3824802,0.031753823
-1.2061043,0.02143811,0.72289085,1.0736172,0.87762266,0.7435223,0.1452247,0.36184877,0.33090362,0.3824802,0.031753823,-0.21581739
0.02143811,0.72289085,1.0736172,0.87762266,0.7435223,0.1452247,0.36184877,0.33090362,0.3824802,0.031753823,-0.21581739,-0.14360937
0.72289085,1.0736172,0.87762266,0.7435223,0.1452247,0.36184877,0.33090362,0.3824802,0.031753823,-0.21581739,-0.14360937,0.29995647
1.0736172,0.87762266,0.7435223,0.1452247,0.36184877,0.33090362,0.3824802,0.031753823,-0.21581739,-0.14360937,0.29995647,0.94983065
0.87762266,0.7435223,0.1452247,0.36184877,0.33090362,0.3824802,0.031753823,-0.21581739,-0.14360937,0.29995647,0.94983065,0.9395169
0.7435223,0.1452247,0.36184877,0.33090362,0.3824802,0.031753823,-0.21581739,-0.14360937,0.29995647,0.94983065,0.9395169,0.3102722
0.1452247,0.36184877,0.33090362,0.3824802,0.031753823,-0.21581739,-0.14360937,0.29995647,0.94983065,0.9395169,0.3102722,-0.36023346
0.36184877,0.33090362,0.3824802,0.031753823,-0.21581739,-0.14360937,0.29995647,0.94983065,0.9395169,0.3102722,-0.36023346,-0.5974909
0.33090362,0.3824802,0.031753823,-0.21581739,-0.14360937,0.29995647,0.94983065,0.9395169,0.3102722,-0.36023346,-0.5974909,-0.5355966
0.3824802,0.031753823,-0.21581739,-0.14360937,0.29995647,0.94983065,0.9395169,0.3102722,-0.36023346,-0.5974909,-0.5355966,-0.6387518
